Altium Designer Pick and Place Locations
C:\Users\Goran\Documents\Repositories\pira-smart-hardware\pira-smart-PCB\Project Outputs for pira-smart-PCB\Pick Place\Pick Place for pira-smart-pcb(V1.0 Assembly).csv

========================================================================================================================
File Design Information:

Date:       10/04/18
Time:       11:40
Revision:   Not in VersionControl
Variant:    V1.0 Assembly
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L3","2.2µH","TopLayer","INDC2214X15N","27.300","-7.200","180","Fixed Inductors PFL2015 Shld Power 2.2 uH 20 % 1 A"
"R15","10k","TopLayer","RES0603","41.000","-12.800","360","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"J1","Jumper","TopLayer","JUMPER_NC","22.200","-20.500","270","Jumper"
"C1","10uF /16V","TopLayer","CAP0805","51.800","-14.600","270","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C2","4u7/16V","TopLayer","CAP0603","49.800","-14.800","270","MURATA - GRM188R61C475KAAJD - CAP, MLCC, X5R, 4.7UF, 16V, 0603"
"C3","47n","TopLayer","CAP0603","47.700","-13.900","270","MULTICOMP - MC0603B473K500CT - CAP, MLCC, X7R, 47NF, 50V, 0603"
"C4","10uF /16V","TopLayer","CAP0805","43.900","-5.000","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C5","10uF /16V","TopLayer","CAP0805","46.200","-5.000","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C6","10uF /16V","TopLayer","CAP0805","36.000","-16.800","180","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C7","22u","TopLayer","CAP0805","36.000","-14.600","180","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C8","22u","TopLayer","CAP0805","36.000","-12.500","180","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C9","22u","TopLayer","CAP0805","36.600","-4.100","180","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C10","22u","TopLayer","CAP0805","31.300","-4.900","90","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C11","10uF /16V","TopLayer","CAP0805","33.500","-4.900","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C12","100nF","TopLayer","CAP0603","41.000","-7.400","180","MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603"
"C13","10uF /16V","TopLayer","CAP0805","27.100","-12.800","360","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C14","10uF /16V","TopLayer","CAP0805","24.200","-7.400","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"CON2","U.FL-R-SMT-1(10)","TopLayer","uFL_SMD_connector","58.250","-5.900","270","HIROSE(HRS) - U.FL-R-SMT-1(10) - RF COAXIAL, U.FL, STRAIGHT JACK, 50OHM"
"CON3","U.FL-R-SMT-1(10)","BottomLayer","uFL_SMD_connector","58.250","-5.900","90","HIROSE(HRS) - U.FL-R-SMT-1(10) - RF COAXIAL, U.FL, STRAIGHT JACK, 50OHM"
"CON4","BATTERY","TopLayer","1066_1066(PRIMARY)","22.787","-9.624","155","HOLDER BATT COIN COMPACT 20MM"
"D1","RS1J-E3/61T..","TopLayer","SMC/DO-214AC","31.700","-18.600","270","VISHAY - RS1J-E3/61T.. - DIODE, FAST, 1A, 600V, SMD"
"D2","LED RED","TopLayer","LED0603","56.100","-14.000","360","BROADCOM LIMITED - HSMS-C190 - LED, RED, 10MCD, 626NM"
"D3","SE30AFG-M3/6A","TopLayer","SODFL127P600-8N","43.500","-19.800","270","VISHAY - SE30AFG-M3/6A - RECTIFIER, ESD, 400V, 3A, DO-221AC"
"D4","SE30AFG-M3/6A","TopLayer","SODFL127P600-8N","48.300","-18.900","180","VISHAY - SE30AFG-M3/6A - RECTIFIER, ESD, 400V, 3A, DO-221AC"
"D5","BZT52C6V2","TopLayer","SOD123","53.900","-18.900","360","DIODES INC. - BZT52C6V2 - DIODE, ZENER, 6.2V, 0.5W, SOD-123"
"D6","3V","TopLayer","SOD-323_2L","40.600","-14.500","360","ON SEMICONDUCTOR - MM3Z3V0T1G - ZENER DIODE, 200MW, 3V, SOD-323"
"D7","LED RED","TopLayer","LED0603","4.950","-24.050","90","BROADCOM LIMITED - HSMS-C190 - LED, RED, 10MCD, 626NM"
