Altium Designer Pick and Place Locations
C:\Users\vojislav\Documents\pira-smart-2.0-hardware\pira-smart-PCB\Project Outputs for pira-smart-PCB\Pick Place\Pick Place for pira-smart-pcb.csv

========================================================================================================================
File Design Information:

Date:       28/03/19
Time:       15:02
Revision:   f291a0225f6c54991588773073c37a93f81db0fa
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U7","24AA02E48T-I/OT","TopLayer","SOT95P280X145-5N","25.7104","13.2200","270","MICROCHIP   24AA02E48T-I/OT   EEPROM, EUI-48 Node Identity, 2 Kbit, 2 BLK (128K x 8bit), 400 kHz, I2C, SOT-23, 5 Pins"
"C25","100nF","TopLayer","CAP0603","25.6854","10.2950","180","MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603"
"C20","10uF/16V","TopLayer","CAP0603","37.8754","15.4250","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10uF 16volts X5R 10%"
"R38","0R","TopLayer","RES0603","24.7504","22.2500","270","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R37","0R","TopLayer","RES0603","29.7504","13.1600","90","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R34","0R","TopLayer","RES0603","27.8104","22.2500","90","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R33","0R","TopLayer","RES0603","26.2804","22.2500","90","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R22","0R","TopLayer","RES0603","43.2104","8.6100","180","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R16","0R","TopLayer","RES0603","27.6104","18.8200","270","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"CON3","BATTERY","BottomLayer","CR-2032/VCN","25.5304","13.8300","90","BATT LITH COIN 3V CELL PC PINS"
"C23","NF","TopLayer","CAP0402","1.8504","17.0000","90","Cap 0402 footprint only"
"C22","NF","TopLayer","CAP0402","4.9004","17.0000","90","Cap 0402 footprint only"
"U6","Lora Module ES0","TopLayer","LORA_MODULE_ES0","12.5794","13.8875","180","Lora Module Murata"
"SW1","KMR221NG LFS","TopLayer","TACTILE_BUTTON","9.9704","5.2000","180","SWITCH TACTILE SPST-NO 0.05A 32V"
"P2","Header 3","TopLayer","HDR1X3","12.2204","2.1200","180","Header, 3-Pin"
"C24","10uF","TopLayer","CAP0603","18.2054","5.3450","90","10uf/0603/20%"
"C21","100pF","TopLayer","CAP0402","3.7004","17.2000","180","Cap Ceramic 100pF 50V X7R 10% SMD 0402 125C T/R"
"C19","10uF","TopLayer","CAP0603","22.2854","9.6250","180","10uf/0603/20%"
"C18","100nF","TopLayer","CAP0603","22.2654","8.2050","180","MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603"
"C17","1uF","TopLayer","CAP0603","22.2654","10.9950","180","MURATA - GRM188R61H105KAALD - CAP, MLCC, X5R, 1UF, 50V, 0603"
"C16","1uF","TopLayer","CAP0603","19.9454","5.3550","90","MURATA - GRM188R61H105KAALD - CAP, MLCC, X5R, 1UF, 50V, 0603"
"R15","10k","TopLayer","RES0603","44.5404","13.7200","360","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"C1","10uF /16V","TopLayer","CAP0805","55.3404","11.9200","270","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C2","4u7/16V","TopLayer","CAP0603","53.3654","11.6950","270","MURATA - GRM188R61C475KAAJD - CAP, MLCC, X5R, 4.7UF, 16V, 0603"
"C3","47n","TopLayer","CAP0603","51.2654","12.5950","270","MULTICOMP - MC0603B473K500CT - CAP, MLCC, X7R, 47NF, 50V, 0603"
"C4","10uF /16V","TopLayer","CAP0805","47.4404","21.5200","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C5","10uF /16V","TopLayer","CAP0805","49.7404","21.5200","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C6","10uF /16V","TopLayer","CAP0805","36.4504","8.6300","360","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C7","22u","TopLayer","CAP0805","36.4704","10.6800","360","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
